month,state,handgun,rifle,total,state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020-06,Michigan,51216,23784,75000,,,,,,,,,,,,,,
2020-06,Minnesota,17758,12316,30074,,,,,,,,,,,,,,
2020-06,Mississippi,23505,9291,32796,,,,,,,,,,,,,,
2020-06,Missouri,38153,17472,55625,,,,,,,,,,,,,,
2020-06,Montana,6573,5803,12376,,,,,,,,,,,,,,
2020-06,Nebraska,179,2474,2653,,,,,,,,,,,,,,
2020-06,Nevada,14420,4220,18640,,,,,,,,,,,,,,
2020-06,New Hampshire,9911,4211,14122,,,,,,,,,,,,,,
2020-06,New Jersey,6921,6077,12998,,,,,,,,,,,,,,
2020-06,New Mexico,11828,5984,17812,,,,,,,,,,,,,,
2020-06,New York,11585,31003,42588,,,,,,,,,,,,,,
2020-06,North Carolina,3380,25843,29223,,,,,,,,,,,,,,
2020-06,North Dakota,3426,3373,6799,,,,,,,,,,,,,,
2020-06,Ohio,54811,21686,76497,,,,,,,,,,,,,,
2020-06,Oklahoma,24400,11222,35622,,,,,,,,,,,,,,
2020-06,Oregon,27187,13974,41161,,,,,,,,,,,,,,
2020-06,Pennsylvania,90652,24029,114681,,,,,,,,,,,,,,
2020-06,Puerto Rico,2838,302,3140,,,,,,,,,,,,,,
2020-06,Rhode Island,2453,1702,4155,,,,,,,,,,,,,,
2020-06,South Carolina,30837,9991,40828,,,,,,,,,,,,,,
2020-06,South Dakota,4487,3492,7979,,,,,,,,,,,,,,
2020-06,Tennessee,50593,21516,72109,,,,,,,,,,,,,,
2020-06,Texas,121926,45845,167771,,,,,,,,,,,,,,
2020-06,Utah,10796,6292,17088,,,,,,,,,,,,,,
2020-06,Vermont,2702,1872,4574,,,,,,,,,,,,,,
2020-06,Virgin Islands,29,3,32,,,,,,,,,,,,,,
2020-06,Virginia,55177,21748,76925,,,,,,,,,,,,,,
2020-06,Washington,35924,15646,51570,,,,,,,,,,,,,,
2020-06,West Virginia,11554,7043,18597,,,,,,,,,,,,,,
2020-06,Wisconsin,35081,13619,48700,,,,,,,,,,,,,,
2020-06,Wyoming,3966,2946,6912,,,,,,,,,,,,,,
2020-05,Alabama,32394,13899,46293,,,,,,,,,,,,,,
2020-05,Alaska,4469,3196,7665,,,,,,,,,,,,,,
2020-05,Arizona,28089,11334,39423,,,,,,,,,,,,,,
2020-05,Arkansas,11572,7005,18577,,,,,,,,,,,,,,
2020-05,California,50811,28550,79361,,,,,,,,,,,,,,
2020-05,Colorado,27297,15043,42340,,,,,,,,,,,,,,
2020-05,Connecticut,4654,1673,6327,,,,,,,,,,,,,,
2020-05,Delaware,2899,1238,4137,,,,,,,,,,,,,,
2020-05,District of Columbia,109,1,110,,,,,,,,,,,,,,
2020-05,Florida,73691,22529,96220,,,,,,,,,,,,,,
2020-05,Georgia,34434,11489,45923,,,,,,,,,,,,,,
2020-05,Guam,207,88,295,,,,,,,,,,,,,,
2020-05,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-05,Idaho,8228,6848,15076,,,,,,,,,,,,,,
2020-05,Illinois,26854,9959,36813,,,,,,,,,,,,,,
